INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	VALUE_CATEGORY	VALUE_CATEGORY_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_YEAR	sort_order	SDG_SeriesID	ILO_SeriesID	UNESCO_SeriesID	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	isLatestValue
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	4	Afghanistan	AFG	66.02688198	33.83160199	Central and Southern Asia	2017	12	Less than 14 weeks	C	Country Data	G	Global	13 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	8	Albania	ALB	20.06660928	41.13897007	Europe and Northern America	2017	13	At least 14 weeks	C	Country Data	G	Global	52 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	2017	13	At least 14 weeks	C	Country Data	G	Global	14 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	20	Andorra	AND	1.576257417	42.54548611	Europe and Northern America	2017	13	At least 14 weeks	C	Country Data	G	Global	16 weeks.; Maternity leave is extended in case of multiple births.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	24	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	2017	12	Less than 14 weeks	C	Country Data	G	Global	13 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	28	Antigua and Barbuda	ATG	-61.7999755	17.07761471	Latin America and the Caribbean	2017	12	Less than 14 weeks	C	Country Data	G	Global	13 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	32	Argentina	ARG	-65.14563274	-35.19446255	Latin America and the Caribbean	2017	12	Less than 14 weeks	C	Country Data	G	Global	13 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2017	13	At least 14 weeks	C	Country Data	G	Global	20 weeks.; Maternity leave is extended in case of complications arising from pregnancy or childbirth. ; Maternity leave is extended in case of multiple births.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	36	Australia	AUS	134.3499412	-25.57717202	Australia and New Zealand	2017	13	At least 14 weeks	C	Country Data	G	Global	52 weeks.; 34 weeks are unpaid; Duration: a single parental leave system provides 52 weeks, which may be shared between the parents. The mother may take six weeks of pre-natal leave. Level of benefit: 18 weeks paid at the federal minimum wage level (AUD $672.60 pera week as of April 2017). A newborn upfront payment and newborn supplement is also paid to parents eligible for the family tax benefit.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	40	Austria	AUT	14.14172472	47.58704857	Europe and Northern America	2017	13	At least 14 weeks	C	Country Data	G	Global	16 weeks.; The benefit provided by the Social Security Fund is equivalent to the percentage of the woman’s previous earnings on which social security contributions have been paid. The employer is mandated to cover the difference between this amount and the woman’s earnings gained just before maternity leave.; Up to a ceiling.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2017	13	At least 14 weeks	C	Country Data	G	Global	18 weeks.; Maternity leave is extended in case of complications arising from pregnancy or childbirth. ; Maternity leave is extended in case of multiple births.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	44	Bahamas	BHS	-78.05111663	24.69546597	Latin America and the Caribbean	2017	12	Less than 14 weeks	C	Country Data	G	Global	13 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	48	Bahrain	BHR	50.5490754	26.04407747	Northern Africa and Western Asia	2017	12	Less than 14 weeks	C	Country Data	G	Global	10.8 weeks.; 2.2 weeks are unpaid.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	2017	13	At least 14 weeks	C	Country Data	G	Global	16 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	52	Barbados	BRB	-59.5346489	13.13648273	Latin America and the Caribbean	2017	12	Less than 14 weeks	C	Country Data	G	Global	12 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	112	Belarus	BLR	28.04940161	53.54193075	Europe and Northern America	2017	13	At least 14 weeks	C	Country Data	G	Global	18 weeks.; Maternity leave is extended in case of complications arising from pregnancy or childbirth.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	56	Belgium	BEL	4.660976456	50.64104975	Europe and Northern America	2017	13	At least 14 weeks	C	Country Data	G	Global	15 weeks.; Maternity leave is extended in case of multiple births.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	84	Belize	BLZ	-88.70199554	17.19965901	Latin America and the Caribbean	2017	13	At least 14 weeks	C	Country Data	G	Global	14 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	204	Benin	BEN	2.339933594	9.65401646	Sub-Saharan Africa	2017	13	At least 14 weeks	C	Country Data	G	Global	14 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	60	Bermuda	BMU	-64.78155012	32.27881922	Europe and Northern America	2017	12	Less than 14 weeks	C	Country Data	G	Global	12 weeks.; 10 weeks are unpaid.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	68	Bolivia (Plurinational State of)	BOL	-64.66224284	-16.71273412	Latin America and the Caribbean	2017	12	Less than 14 weeks	C	Country Data	G	Global	13 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	70	Bosnia and Herzegovina	BIH	17.78584332	44.16845548	Europe and Northern America	2017	13	At least 14 weeks	C	Country Data	G	Global	52 weeks.	2021	9400							True
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	72	Botswana	BWA	23.81380223	-22.18810073	Sub-Saharan Africa	2017	12	Less than 14 weeks	C	Country Data	G	Global	12 weeks.	2021	9400							True
