INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	TIME_PERIOD	VALUE_CATEGORY	VALUE_CATEGORY_DESC	NATURE	NATURE_DESC	REPORTING_TYPE	REPORTING_TYPE_DESC	COMMENT_OBS	SOURCE_YEAR
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	528	Netherlands	NLD	5.331480568	51.86728884	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	554	New Zealand	NZL	170.4755673	-43.98721568	Australia and New Zealand	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	578	Norway	NOR	11.47846389	61.34311134	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	616	Poland	POL	19.40660158	52.1226733	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	620	Portugal	PRT	-7.961599811	39.68509315	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	642	Romania	ROU	24.98481009	45.83893563	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	643	Russian Federation	RUS	99.01404926	61.61899849	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	674	San Marino	SMR	12.46329038	43.93841766	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	688	Serbia	SRB	20.805876	44.03145697	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	703	Slovakia	SVK	19.48495604	48.70741446	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	705	Slovenia	SVN	14.82209486	46.11958061	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	724	Spain	ESP	-3.554078296	40.39211472	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	752	Sweden	SWE	14.3775338	60.60103109	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	756	Switzerland	CHE	8.223158	46.96617097	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	804	Ukraine	UKR	31.40270802	49.00735945	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	807	North Macedonia	MKD	21.7007909	41.60048068	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	826	United Kingdom of Great Britain and Northern Ireland	GBR	-2.23830539	53.27691757	Europe and Northern America	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	434	Libya	LBY	18.0295985	27.04042819	Northern Africa and Western Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	788	Tunisia	TUN	9.572737411	34.11439971	Northern Africa and Western Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	90	Solomon Islands	SLB	160.1584117	-9.622391719	Oceania, exc. Australia and New Zealand	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	548	Vanuatu	VUT	167.0679779	-15.34445547	Oceania, exc. Australia and New Zealand	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	24	Angola	AGO	17.57817062	-12.33724746	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	72	Botswana	BWA	23.81380223	-22.18810073	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	120	Cameroon	CMR	12.7419827	5.692387031	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	226	Equatorial Guinea	GNQ	10.46535826	1.565792376	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	266	Gabon	GAB	11.78727747	-0.60687619	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	288	Ghana	GHA	-1.205623522	7.964825185	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	426	Lesotho	LSO	28.25362195	-29.58041814	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	466	Mali	MLI	-3.522016039	17.35311254	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	480	Mauritius	MUS	57.568022	-20.28581998	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	508	Mozambique	MOZ	38.18479941	-14.27963886	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	516	Namibia	NAM	17.21907885	-22.13817068	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	562	Niger	NER	9.400167877	17.42143036	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	566	Nigeria	NGA	8.097363256	9.585789025	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	624	Guinea-Bissau	GNB	-14.40182514	12.11760394	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	646	Rwanda	RWA	29.92310194	-1.999842114	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	686	Senegal	SEN	-14.46636926	14.35920905	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	690	Seychelles	SYC	55.46561591	-4.678053059	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	710	South Africa	ZAF	24.67184355	-29.99957544	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	834	United Republic of Tanzania	TZA	34.80521182	-6.265332606	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	854	Burkina Faso	BFA	-1.742843829	12.27491081	Sub-Saharan Africa	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	28	Antigua and Barbuda	ATG	-61.7999755	17.07761471	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	32	Argentina	ARG	-65.14563274	-35.19446255	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	68	Bolivia (Plurinational State of)	BOL	-64.66224284	-16.71273412	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	76	Brazil	BRA	-53.08432878	-10.77668561	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	84	Belize	BLZ	-88.70199554	17.19965901	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	170	Colombia	COL	-73.07446751	3.888209046	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	188	Costa Rica	CRI	-84.19712782	9.970998683	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	214	Dominican Republic	DOM	-70.49847576	18.89832088	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	218	Ecuador	ECU	-78.37005241	-1.447785891	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	320	Guatemala	GTM	-91.2312746	15.00273719	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	484	Mexico	MEX	-102.5148166	23.93378032	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	591	Panama	PAN	-81.26616623	8.450965746	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	600	Paraguay	PRY	-60.54854225	-21.70216237	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	604	Peru	PER	-71.82093277	-13.58939705	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	659	Saint Kitts and Nevis	KNA	-62.76628613	17.33994219	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	858	Uruguay	URY	-56.01387025	-32.8002838	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	862	Venezuela (Bolivarian Republic of)	VEN	-66.15642084	7.121324748	Latin America and the Caribbean	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	31	Azerbaijan	AZE	50.01064725	40.39229544	Northern Africa and Western Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	51	Armenia	ARM	44.93839317	40.29499741	Northern Africa and Western Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	268	Georgia	GEO	43.3713615	42.04813028	Northern Africa and Western Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	398	Kazakhstan	KAZ	66.65359159	48.01963494	Central and Southern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	417	Kyrgyzstan	KGZ	74.52324839	41.46204516	Central and Southern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	795	Turkmenistan	TKM	58.9787665	40.0912346	Central and Southern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	792	Turkey	TUR	35.42890329	38.9899684	Northern Africa and Western Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	116	Cambodia	KHM	104.922836	12.71163737	Eastern and South-Eastern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	608	Philippines	PHL	120.8601418	14.16591706	Eastern and South-Eastern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	626	Timor-Leste	TLS	125.9451052	-8.797497247	Eastern and South-Eastern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	764	Thailand	THA	101.0202951	15.13089239	Eastern and South-Eastern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	410	Republic of Korea	KOR	127.8610254	36.45201023	Eastern and South-Eastern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	496	Mongolia	MNG	103.0728057	46.83892054	Eastern and South-Eastern Asia	2017	4	Ratified	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	108	Burundi	BDI	29.89080992	-3.366387428	Sub-Saharan Africa	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	178	Congo	COG	15.22052612	-0.840544119	Sub-Saharan Africa	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	204	Benin	BEN	2.339933594	9.65401646	Sub-Saharan Africa	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	430	Liberia	LBR	-9.311879038	6.448381009	Sub-Saharan Africa	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	450	Madagascar	MDG	46.6982339	-19.38514785	Sub-Saharan Africa	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	454	Malawi	MWI	33.4884625	-13.40819859	Sub-Saharan Africa	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	678	Sao Tome and Principe	STP	6.609772265	0.241554875	Sub-Saharan Africa	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	694	Sierra Leone	SLE	-11.78306584	8.568604164	Sub-Saharan Africa	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	894	Zambia	ZMB	27.850329	-14.59701056	Sub-Saharan Africa	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	152	Chile	CHL	-71.23029019	-35.2652885	Latin America and the Caribbean	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	192	Cuba	CUB	-79.54460144	22.10030366	Latin America and the Caribbean	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	222	El Salvador	SLV	-88.86862995	13.73603564	Latin America and the Caribbean	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	762	Tajikistan	TJK	69.294998	38.43069666	Central and Southern Asia	2017	6	Signature only	C	Country Data	G	Global		2017
61	8	Whether or not reservation to article 16 of CEDAW	100	Optional Protocol	360	Indonesia	IDN	113.9174	-0.994582204	Eastern and South-Eastern Asia	2017	6	Signature only	C	Country Data	G	Global		2017
