INDICATOR_ID	INDICATOR_NUM	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	ISO3	X	Y	SDG_REGION	VALUE_CATEGORY	VALUE_CATEGORY_DESC	COMMENT_OBS	SOURCE_YEAR
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	364	Iran (Islamic Republic of)	IRN	54.19766348	32.74370885	Central and Southern Asia	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	840	United States of America	USA	-99.13830311	39.5277871	Europe and Northern America	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	520	Nauru	NRU	166.92313	-0.528742623	Oceania, exc. Australia and New Zealand	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	585	Palau	PLW	134.5733878	7.502307591	Oceania, exc. Australia and New Zealand	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	776	Tonga	TON	-175.1959991	-21.19511329	Oceania, exc. Australia and New Zealand	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	706	Somalia	SOM	46.20367477	4.406485729	Sub-Saharan Africa	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	729	Sudan	SDN	29.95650159	16.02643066	Northern Africa and Western Asia	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	275	State of Palestine	PSE	35.25694122	31.94347933	Northern Africa and Western Asia	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	344	China, Hong Kong Special Administrative Region	HKG	114.0266445	22.41749934	Eastern and South-Eastern Asia	10	Not applicable		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	50	Bangladesh	BGD	89.17660788	22.86961622	Central and Southern Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	356	India	IND	79.3608464	22.34642074	Central and Southern Asia	7	Reservation	This reservation is expressed in the form of a Declaration.	2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	462	Maldives	MDV	73.09672546	-0.614385021	Central and Southern Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	250	France	FRA	2.457288129	46.62660861	Europe and Northern America	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	372	Ireland	IRL	-7.121425272	53.25274054	Europe and Northern America	7	Reservation	The text of the reservation reads: 'Articles 16 1 (d) and (f): Ireland is of the view that the attainment in Ireland of the objectives of the Convention does not necessitate the extension to men of rights identical to those accorded by law to women in respect of the guardianship adoption and custody of children born out of wedlock and reserves the right to implement the Convention subject to that understanding.'	2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	376	Israel	ISR	34.62277992	31.06164552	Northern Africa and Western Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	470	Malta	MLT	14.44617519	35.89194275	Europe and Northern America	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	492	Monaco	MCO	7.424214814	43.73532918	Europe and Northern America	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	756	Switzerland	CHE	8.223158	46.96617097	Europe and Northern America	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	826	United Kingdom of Great Britain and Northern Ireland	GBR	-2.23830539	53.27691757	Europe and Northern America	7	Reservation	The text of the reservation reads: 'As regards sub-paragraph 1 (f) of article 16 the United Kingdom does not regard the reference to the paramountcy of the interests of the children as being directly relevant to the elimination of discrimination against women and declares in this connection that the legislation of the United Kingdom regulating adoption while giving a principal position to the promotion of the children's welfare does not give to the child's interests the same paramount place as in issues concerning custody over children.'	2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	12	Algeria	DZA	2.678164227	28.15940032	Northern Africa and Western Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	434	Libya	LBY	18.0295985	27.04042819	Northern Africa and Western Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	504	Morocco	MAR	-6.281942841	31.8440131	Northern Africa and Western Asia	7	Reservation	This reservation is expressed in the form of a Declaration.	2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	788	Tunisia	TUN	9.572737411	34.11439971	Northern Africa and Western Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	818	Egypt	EGY	29.77468534	26.57438204	Northern Africa and Western Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	583	Micronesia (Federated States of)	FSM	158.225216	6.880670092	Oceania, exc. Australia and New Zealand	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	562	Niger	NER	9.400167877	17.42143036	Sub-Saharan Africa	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	48	Bahrain	BHR	50.5490754	26.04407747	Northern Africa and Western Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	368	Iraq	IRQ	43.76606267	33.05013795	Northern Africa and Western Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	400	Jordan	JOR	37.13024774	30.65365973	Northern Africa and Western Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	414	Kuwait	KWT	47.49305029	29.53949468	Northern Africa and Western Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	422	Lebanon	LBN	35.89391711	33.92152458	Northern Africa and Western Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	512	Oman	OMN	57.87743482	21.98805614	Northern Africa and Western Asia	7	Reservation		2017
61	8	Whether or not reservation to article 16 of CEDAW	106	Reservations to CEDAW - Equal rights in marriage and family	634	Qatar	QAT	51.19152467	25.28355379	Northern Africa and Western Asia	7	Reservation		2017
