INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	364	Iran (Islamic Republic of)				IRN	54.19766348	32.74370885	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	840	United States of America				USA	-99.13830311	39.5277871	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	520	Nauru				NRU	166.92313	-0.528742623	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	585	Palau				PLW	134.5733878	7.502307591	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	776	Tonga				TON	-175.1959991	-21.19511329	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	706	Somalia				SOM	46.20367477	4.406485729	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	729	Sudan				SDN	29.95650159	16.02643066	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	275	State of Palestine				PSE	35.25694122	31.94347933		4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	344	China, Hong Kong Special Administrative Region				HKG	114.0266445	22.41749934		4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	356	India				IND	79.3608464	22.34642074	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	36	Australia				AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	250	France				FRA	2.457288129	46.62660861	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	372	Ireland				IRL	-7.121425272	53.25274054	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	376	Israel				ISR	34.62277992	31.06164552	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	438	Liechtenstein				LIE	9.552985019	47.14167005	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	470	Malta				MLT	14.44617519	35.89194275	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	492	Monaco				MCO	7.424214814	43.73532918	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	554	New Zealand				NZL	170.4755673	-43.98721568	1.0	4	Country or Area	Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	724	Spain				ESP	-3.554078296	40.39211472	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	756	Switzerland				CHE	8.223158	46.96617097	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	826	United Kingdom of Great Britain and Northern Ireland				GBR	-2.23830539	53.27691757	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	504	Morocco				MAR	-6.281942841	31.8440131	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	583	Micronesia (Federated States of)				FSM	158.225216	6.880670092	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	562	Niger				NER	9.400167877	17.42143036	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	484	Mexico				MEX	-102.5148166	23.93378032	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	634	Qatar				QAT	51.19152467	25.28355379	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	784	United Arab Emirates				ARE	53.98279159	23.43322219	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	08bb0d77	Reservations to CEDAW - Other concerns (retired)	458	Malaysia				MYS	116.8346314	5.452415309	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
