INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
I.3q	79580982	Length of maternity leave	79580982	Length of maternity leave	50	Bangladesh				89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
I.3q	79580982	Length of maternity leave	79580982	Length of maternity leave	8	Albania				20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
I.3q	79580982	Length of maternity leave	79580982	Length of maternity leave	20	Andorra				1.576257417	42.54548611	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
I.3q	79580982	Length of maternity leave	79580982	Length of maternity leave	36	Australia				134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2017]	2017	2017	1	1	1
I.3q	79580982	Length of maternity leave	79580982	Length of maternity leave	40	Austria				14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
I.3q	79580982	Length of maternity leave	79580982	Length of maternity leave	56	Belgium				4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
I.3q	79580982	Length of maternity leave	79580982	Length of maternity leave	70	Bosnia and Herzegovina				17.78584332	44.16845548	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
I.3q	79580982	Length of maternity leave	79580982	Length of maternity leave	100	Bulgaria				25.23763153	42.75731323	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
I.3q	79580982	Length of maternity leave	79580982	Length of maternity leave	112	Belarus				28.04940161	53.54193075	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
I.3q	79580982	Length of maternity leave	79580982	Length of maternity leave	124	Canada				-101.6575058	57.72360191	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
I.3q	79580982	Length of maternity leave	79580982	Length of maternity leave	191	Croatia				17.95874553	45.45172212	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
