INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	854	Burkina Faso				11500	BFA	-1.742843829	12.27491081	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	174	Comoros				11500	COM	43.34234565	-11.66121732	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	262	Djibouti				11500	DJI	42.18274707	11.56004161	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	226	Equatorial Guinea				11500	GNQ	10.46535826	1.565792376	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	270	Gambia				11500	GMB	-15.39944785	13.45295927	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	562	Niger				11500	NER	9.400167877	17.42143036	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	266	Gabon				11500	GAB	11.78727747	-0.60687619	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	20	Andorra				11500	AND	1.576257417	42.54548611	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	620	Portugal				11500	PRT	-7.961599811	39.68509315	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	51	Armenia				11500	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	178	Congo				11500	COG	15.22052612	-0.840544119	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	212	Dominica				11500	DMA	-61.3493756	15.43391378	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	232	Eritrea				11500	ERI	38.11074289	16.12894644	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	288	Ghana				11500	GHA	-1.205623522	7.964825185	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	586	Pakistan				11500	PAK	68.80479684	29.36491634	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	585	Palau				11500	PLW	134.5733878	7.502307591	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	28	Antigua and Barbuda				11500	ATG	-61.7999755	17.07761471	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	32	Argentina				11500	ARG	-65.14563274	-35.19446255	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	36	Australia				11500	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	64	Bhutan				11500	BTN	90.45098484	27.39598568	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	70	Bosnia and Herzegovina				11500	BIH	17.78584332	44.16845548	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	76	Brazil				11500	BRA	-53.08432878	-10.77668561	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	100	Bulgaria				11500	BGR	25.23763153	42.75731323	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	108	Burundi				11500	BDI	29.89080992	-3.366387428	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	132	Cabo Verde				11500	CPV	-23.63544151	15.07791834	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	124	Canada				11500	CAN	-101.6575058	57.72360191	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	152	Chile				11500	CHL	-71.23029019	-35.2652885	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	188	Costa Rica				11500	CRI	-84.19712782	9.970998683	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QV.2	I158e0e5f	Existence of laws on domestic violence	Sd11d0c44	Existence of laws on marital rape	192	Cuba				11500	CUB	-79.54460144	22.10030366	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
