INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	275	State of Palestine				10100	PSE	35.25694122	31.94347933		4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	344	China, Hong Kong Special Administrative Region				10100	HKG	114.0266445	22.41749934		4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	50	Bangladesh				10100	BGD	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	144	Sri Lanka				10100	LKA	80.70489654	7.614693343	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	462	Maldives				10100	MDV	73.09672546	-0.614385021	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	524	Nepal				10100	NPL	83.94678863	28.25866332	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	8	Albania				10100	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	20	Andorra				10100	AND	1.576257417	42.54548611	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	36	Australia				10100	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	40	Austria				10100	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	56	Belgium				10100	BEL	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	70	Bosnia and Herzegovina				10100	BIH	17.78584332	44.16845548	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	100	Bulgaria				10100	BGR	25.23763153	42.75731323	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	112	Belarus				10100	BLR	28.04940161	53.54193075	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	124	Canada				10100	CAN	-101.6575058	57.72360191	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	191	Croatia				10100	HRV	17.95874553	45.45172212	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	196	Cyprus				10100	CYP	33.22285964	35.05659437	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S3bd306b9	Optional Protocol (retired)	203	Czechia				10100	CZE	15.33151382	49.73913871	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
