INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	3bd306b9	Optional Protocol (retired)	275	State of Palestine				35.25694122	31.94347933		4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	3bd306b9	Optional Protocol (retired)	344	China, Hong Kong Special Administrative Region				114.0266445	22.41749934		4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	3bd306b9	Optional Protocol (retired)	50	Bangladesh				89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	3bd306b9	Optional Protocol (retired)	144	Sri Lanka				80.70489654	7.614693343	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	3bd306b9	Optional Protocol (retired)	462	Maldives				73.09672546	-0.614385021	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	3bd306b9	Optional Protocol (retired)	524	Nepal				83.94678863	28.25866332	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	3bd306b9	Optional Protocol (retired)	8	Albania				20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	3bd306b9	Optional Protocol (retired)	20	Andorra				1.576257417	42.54548611	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	3bd306b9	Optional Protocol (retired)	36	Australia				134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	3bd306b9	Optional Protocol (retired)	40	Austria				14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	3bd306b9	Optional Protocol (retired)	56	Belgium				4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
