INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	364	Iran (Islamic Republic of)				10200	IRN	54.19766348	32.74370885	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	840	United States of America				10200	USA	-99.13830311	39.5277871	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	520	Nauru				10200	NRU	166.92313	-0.528742623	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	585	Palau				10200	PLW	134.5733878	7.502307591	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	776	Tonga				10200	TON	-175.1959991	-21.19511329	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	706	Somalia				10200	SOM	46.20367477	4.406485729	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	729	Sudan				10200	SDN	29.95650159	16.02643066	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	275	State of Palestine				10200	PSE	35.25694122	31.94347933		4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	344	China, Hong Kong Special Administrative Region				10200	HKG	114.0266445	22.41749934		4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
QV.1	Ic6261123	Whether or not reservation to article 16 of CEDAW	S62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	50	Bangladesh				10200	BGD	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
