INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	17230409	CEDAW Status (retired)	275	State of Palestine				PSE	35.25694122	31.94347933		4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	17230409	CEDAW Status (retired)	344	China, Hong Kong Special Administrative Region				HKG	114.0266445	22.41749934		4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	17230409	CEDAW Status (retired)	364	Iran (Islamic Republic of)				IRN	54.19766348	32.74370885	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	17230409	CEDAW Status (retired)	520	Nauru				NRU	166.92313	-0.528742623	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	17230409	CEDAW Status (retired)	585	Palau				PLW	134.5733878	7.502307591	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	17230409	CEDAW Status (retired)	776	Tonga				TON	-175.1959991	-21.19511329	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	17230409	CEDAW Status (retired)	706	Somalia				SOM	46.20367477	4.406485729	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	17230409	CEDAW Status (retired)	729	Sudan				SDN	29.95650159	16.02643066	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	17230409	CEDAW Status (retired)	4	Afghanistan				AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	17230409	CEDAW Status (retired)	50	Bangladesh				BGD	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1q	c6261123	Whether or not reservation to article 16 of CEDAW	17230409	CEDAW Status (retired)	64	Bhutan				BTN	90.45098484	27.39598568	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
