INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	524	Nepal	F	Female	SEX	F	Female	12200	NPL	83.94678863	28.25866332	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	56	Belgium	F	Female	SEX	F	Female	12200	BEL	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	250	France	F	Female	SEX	F	Female	12200	FRA	2.457288129	46.62660861	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	434	Libya	F	Female	SEX	F	Female	12200	LBY	18.0295985	27.04042819	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	72	Botswana	F	Female	SEX	F	Female	12200	BWA	23.81380223	-22.18810073	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	516	Namibia	F	Female	SEX	F	Female	12200	NAM	17.21907885	-22.13817068	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	524	Nepal	M	Male	SEX	M	Male	12200	NPL	83.94678863	28.25866332	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	56	Belgium	M	Male	SEX	M	Male	12200	BEL	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	250	France	M	Male	SEX	M	Male	12200	FRA	2.457288129	46.62660861	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	434	Libya	M	Male	SEX	M	Male	12200	LBY	18.0295985	27.04042819	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	72	Botswana	M	Male	SEX	M	Male	12200	BWA	23.81380223	-22.18810073	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	516	Namibia	M	Male	SEX	M	Male	12200	NAM	17.21907885	-22.13817068	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	4	Afghanistan	F	Female	SEX	F	Female	12200	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	144	Sri Lanka	F	Female	SEX	F	Female	12200	LKA	80.70489654	7.614693343	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QV.4	Ifdb90d43	Legal minimum age at marriage by sex	S174413b8	Minimum age for legal marriage - With parental consent	364	Iran (Islamic Republic of)	F	Female	SEX	F	Female	12200	IRN	54.19766348	32.74370885	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
