INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	sort_order	ISO3	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	4	Afghanistan				9400	AFG	66.02688198	33.83160199	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	8	Albania				9400	ALB	20.06660928	41.13897007	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	12	Algeria				9400	DZA	2.678164227	28.15940032	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	20	Andorra				9400	AND	1.576257417	42.54548611	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	24	Angola				9400	AGO	17.57817062	-12.33724746	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	28	Antigua and Barbuda				9400	ATG	-61.7999755	17.07761471	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	32	Argentina				9400	ARG	-65.14563274	-35.19446255	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	51	Armenia				9400	ARM	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	36	Australia				9400	AUS	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	40	Austria				9400	AUT	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	31	Azerbaijan				9400	AZE	50.01064725	40.39229544	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	44	Bahamas				9400	BHS	-78.05111663	24.69546597	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	48	Bahrain				9400	BHR	50.5490754	26.04407747	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	50	Bangladesh				9400	BGD	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	52	Barbados				9400	BRB	-59.5346489	13.13648273	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	112	Belarus				9400	BLR	28.04940161	53.54193075	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	56	Belgium				9400	BEL	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	84	Belize				9400	BLZ	-88.70199554	17.19965901	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	204	Benin				9400	BEN	2.339933594	9.65401646	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	60	Bermuda				9400	BMU	-64.78155012	32.27881922		4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	68	Bolivia (Plurinational State of)				9400	BOL	-64.66224284	-16.71273412	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	70	Bosnia and Herzegovina				9400	BIH	17.78584332	44.16845548	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	72	Botswana				9400	BWA	23.81380223	-22.18810073	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	76	Brazil				9400	BRA	-53.08432878	-10.77668561	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	92	British Virgin Islands				9400	VGB	-64.63294223	18.42256578		4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	96	Brunei Darussalam				9400	BRN	114.6288563	4.49736984	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	100	Bulgaria				9400	BGR	25.23763153	42.75731323	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	854	Burkina Faso				9400	BFA	-1.742843829	12.27491081	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	108	Burundi				9400	BDI	29.89080992	-3.366387428	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	132	Cabo Verde				9400	CPV	-23.63544151	15.07791834	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	116	Cambodia				9400	KHM	104.922836	12.71163737	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	120	Cameroon				9400	CMR	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	124	Canada				9400	CAN	-101.6575058	57.72360191	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	140	Central African Republic				9400	CAF	20.93559492	7.003720791	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	148	Chad				9400	TCD	18.66618401	15.36279341	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	152	Chile				9400	CHL	-71.23029019	-35.2652885	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	156	China				9400	CHN	104.1403375	32.30955217	1.0	4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	344	China, Hong Kong Special Administrative Region				9400	HKG	114.0266445	22.41749934		4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	170	Colombia				9400	COL	-73.07446751	3.888209046	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	174	Comoros				9400	COM	43.34234565	-11.66121732	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	178	Congo				9400	COG	15.22052612	-0.840544119	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	188	Costa Rica				9400	CRI	-84.19712782	9.970998683	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	384	Côte d'Ivoire				9400	CIV	-5.552690016	7.62211586	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	191	Croatia				9400	HRV	17.95874553	45.45172212	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	192	Cuba				9400	CUB	-79.54460144	22.10030366	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	196	Cyprus				9400	CYP	33.22285964	35.05659437	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	203	Czechia				9400	CZE	15.33151382	49.73913871	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	180	Democratic Republic of the Congo				9400	COD	23.65496507	-2.877154732	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	208	Denmark				9400	DNK	9.326571283	56.03829721	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	262	Djibouti				9400	DJI	42.18274707	11.56004161	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	212	Dominica				9400	DMA	-61.3493756	15.43391378	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	214	Dominican Republic				9400	DOM	-70.49847576	18.89832088	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	218	Ecuador				9400	ECU	-78.37005241	-1.447785891	1.0	4	Country or Area	Latin America and the Caribbean	[2017]	2017	2017	1	1	1
QI.3	I79580982	Length of maternity leave	S79580982	Length of maternity leave	818	Egypt				9400	EGY	29.77468534	26.57438204	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
