INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	364	Iran (Islamic Republic of)				54.19766348	32.74370885	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	840	United States of America				-99.13830311	39.5277871	1.0	4	Country or Area	Europe and Northern America	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	520	Nauru				166.92313	-0.528742623	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	585	Palau				134.5733878	7.502307591	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	776	Tonga				-175.1959991	-21.19511329	1.0	4	Country or Area	Oceania, exc. Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	706	Somalia				46.20367477	4.406485729	1.0	4	Country or Area	Sub-Saharan Africa	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	729	Sudan				29.95650159	16.02643066	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	275	State of Palestine				35.25694122	31.94347933		4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	344	China, Hong Kong Special Administrative Region				114.0266445	22.41749934		4	Country or Area	Eastern and South-Eastern Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	50	Bangladesh				89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	356	India				79.3608464	22.34642074	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	462	Maldives				73.09672546	-0.614385021	1.0	4	Country or Area	Central and Southern Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	376	Israel				34.62277992	31.06164552	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	554	New Zealand				170.4755673	-43.98721568	1.0	4	Country or Area	Australia and New Zealand	[2017]	2017	2017	1	1	1
V.1	c6261123	Whether or not reservation to article 16 of CEDAW	62451ce4	Reservations to CEDAW - Compatibility with religious laws or traditional codes (retired)	434	Libya				18.0295985	27.04042819	1.0	4	Country or Area	Northern Africa and Western Asia	[2017]	2017	2017	1	1	1
