INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	108	Burundi	F	Female	SEX	F	Female	29.89080992	-3.366387428	1.0	4	Country or Area	Sub-Saharan Africa	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	108	Burundi	M	Male	SEX	M	Male	29.89080992	-3.366387428	1.0	4	Country or Area	Sub-Saharan Africa	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	132	Cabo Verde	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	-23.63544151	15.07791834	1.0	4	Country or Area	Sub-Saharan Africa	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	132	Cabo Verde	F	Female	SEX	F	Female	-23.63544151	15.07791834	1.0	4	Country or Area	Sub-Saharan Africa	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	132	Cabo Verde	M	Male	SEX	M	Male	-23.63544151	15.07791834	1.0	4	Country or Area	Sub-Saharan Africa	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	116	Cambodia	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	104.922836	12.71163737	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	116	Cambodia	F	Female	SEX	F	Female	104.922836	12.71163737	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	116	Cambodia	M	Male	SEX	M	Male	104.922836	12.71163737	1.0	4	Country or Area	Eastern and South-Eastern Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	120	Cameroon	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	120	Cameroon	F	Female	SEX	F	Female	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	120	Cameroon	M	Male	SEX	M	Male	12.7419827	5.692387031	1.0	4	Country or Area	Sub-Saharan Africa	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	124	Canada	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	-101.6575058	57.72360191	1.0	4	Country or Area	Europe and Northern America	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	124	Canada	F	Female	SEX	F	Female	-101.6575058	57.72360191	1.0	4	Country or Area	Europe and Northern America	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	124	Canada	M	Male	SEX	M	Male	-101.6575058	57.72360191	1.0	4	Country or Area	Europe and Northern America	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	140	Central African Republic	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	20.93559492	7.003720791	1.0	4	Country or Area	Sub-Saharan Africa	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	140	Central African Republic	F	Female	SEX	F	Female	20.93559492	7.003720791	1.0	4	Country or Area	Sub-Saharan Africa	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
