INDICATOR_LABEL	INDICATOR_ID	INDICATOR_DESC	MINSET_SERIES	MINSET_SERIES_DESC	REF_AREA	REF_AREA_DESC	SEX	SEX_DESC	TSK_sub_dims	TSK_sub_id	TSK_sub_desc	X	Y	UNmember	GEOLEVEL	GEOLEVEL_Desc	SDG_REGION	years	min_year	max_year	N_years	N_years_lag5	N_years_lag10
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	51	Armenia	M	Male	SEX	M	Male	44.93839317	40.29499741	1.0	4	Country or Area	Northern Africa and Western Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	533	Aruba	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	-69.97050586	12.50878756		4	Country or Area	Latin America and the Caribbean	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	533	Aruba	F	Female	SEX	F	Female	-69.97050586	12.50878756		4	Country or Area	Latin America and the Caribbean	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	533	Aruba	M	Male	SEX	M	Male	-69.97050586	12.50878756		4	Country or Area	Latin America and the Caribbean	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	36	Australia	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	36	Australia	F	Female	SEX	F	Female	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	36	Australia	M	Male	SEX	M	Male	134.3499412	-25.57717202	1.0	4	Country or Area	Australia and New Zealand	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	40	Austria	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	40	Austria	F	Female	SEX	F	Female	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	40	Austria	M	Male	SEX	M	Male	14.14172472	47.58704857	1.0	4	Country or Area	Europe and Northern America	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	31	Azerbaijan	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	50.01064725	40.39229544	1.0	4	Country or Area	Northern Africa and Western Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	31	Azerbaijan	F	Female	SEX	F	Female	50.01064725	40.39229544	1.0	4	Country or Area	Northern Africa and Western Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	31	Azerbaijan	M	Male	SEX	M	Male	50.01064725	40.39229544	1.0	4	Country or Area	Northern Africa and Western Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	44	Bahamas	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	-78.05111663	24.69546597	1.0	4	Country or Area	Latin America and the Caribbean	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	44	Bahamas	F	Female	SEX	F	Female	-78.05111663	24.69546597	1.0	4	Country or Area	Latin America and the Caribbean	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	44	Bahamas	M	Male	SEX	M	Male	-78.05111663	24.69546597	1.0	4	Country or Area	Latin America and the Caribbean	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	48	Bahrain	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	50.5490754	26.04407747	1.0	4	Country or Area	Northern Africa and Western Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	48	Bahrain	F	Female	SEX	F	Female	50.5490754	26.04407747	1.0	4	Country or Area	Northern Africa and Western Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	48	Bahrain	M	Male	SEX	M	Male	50.5490754	26.04407747	1.0	4	Country or Area	Northern Africa and Western Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	50	Bangladesh	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	50	Bangladesh	F	Female	SEX	F	Female	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	50	Bangladesh	M	Male	SEX	M	Male	89.17660788	22.86961622	1.0	4	Country or Area	Central and Southern Asia	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	52	Barbados	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	-59.5346489	13.13648273	1.0	4	Country or Area	Latin America and the Caribbean	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	52	Barbados	F	Female	SEX	F	Female	-59.5346489	13.13648273	1.0	4	Country or Area	Latin America and the Caribbean	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	52	Barbados	M	Male	SEX	M	Male	-59.5346489	13.13648273	1.0	4	Country or Area	Latin America and the Caribbean	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	112	Belarus	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	28.04940161	53.54193075	1.0	4	Country or Area	Europe and Northern America	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	112	Belarus	F	Female	SEX	F	Female	28.04940161	53.54193075	1.0	4	Country or Area	Europe and Northern America	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	112	Belarus	M	Male	SEX	M	Male	28.04940161	53.54193075	1.0	4	Country or Area	Europe and Northern America	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	56	Belgium	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	56	Belgium	F	Female	SEX	F	Female	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	56	Belgium	M	Male	SEX	M	Male	4.660976456	50.64104975	1.0	4	Country or Area	Europe and Northern America	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	84	Belize	_T	Both sexes or no breakdown by sex	SEX	_T	Both sexes or no breakdown by sex	-88.70199554	17.19965901	1.0	4	Country or Area	Latin America and the Caribbean	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	84	Belize	F	Female	SEX	F	Female	-88.70199554	17.19965901	1.0	4	Country or Area	Latin America and the Caribbean	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
III.10	c5db0b34	Life expectancy at age 60, by sex	c5db0b34	Life expectancy at age 60, by sex	84	Belize	M	Male	SEX	M	Male	-88.70199554	17.19965901	1.0	4	Country or Area	Latin America and the Caribbean	[1993, 1998, 2003, 2008, 2013, 2018]	1993	2018	6	1	2
