INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE__F__Y15T24,OBS_VALUE__M__Y15T24,OBS_VALUE___T__Y15T24,OBS_VALUE__F__Y_GE15,OBS_VALUE__M__Y_GE15,OBS_VALUE___T__Y_GE15,OBS_VALUE__F__Y_GE25,OBS_VALUE__M__Y_GE25,OBS_VALUE___T__Y_GE25,NATURE__F__Y15T24,NATURE__M__Y15T24,NATURE___T__Y15T24,NATURE__F__Y_GE15,NATURE__M__Y_GE15,NATURE___T__Y_GE15,NATURE__F__Y_GE25,NATURE__M__Y_GE25,NATURE___T__Y_GE25,COMMENT_OBS__F__Y15T24,COMMENT_OBS__M__Y15T24,COMMENT_OBS___T__Y15T24,COMMENT_OBS__F__Y_GE15,COMMENT_OBS__M__Y_GE15,COMMENT_OBS___T__Y_GE15,COMMENT_OBS__F__Y_GE25,COMMENT_OBS__M__Y_GE25,COMMENT_OBS___T__Y_GE25,isLatestValue__F__Y15T24,isLatestValue__M__Y15T24,isLatestValue___T__Y15T24,isLatestValue__F__Y_GE15,isLatestValue__M__Y_GE15,isLatestValue___T__Y_GE15,isLatestValue__F__Y_GE25,isLatestValue__M__Y_GE25,isLatestValue___T__Y_GE25
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2019,PT,Percent,2010,12.1,11.3,11.6,5.9,5.2,5.5,4.5,3.9,4.2,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2019,PT,Percent,2011,12.1,11.2,11.6,5.8,5.1,5.4,4.5,3.8,4.1,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2019,PT,Percent,2012,12.2,11.5,11.8,5.8,5.1,5.4,4.5,3.8,4.1,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2019,PT,Percent,2013,12.3,11.6,11.9,5.8,5.1,5.4,4.5,3.8,4.1,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2019,PT,Percent,2014,12.1,11.4,11.7,5.6,4.9,5.2,4.4,3.7,4.0,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2019,PT,Percent,2015,12.5,11.7,12.0,5.7,4.9,5.2,4.4,3.7,4.0,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2019,PT,Percent,2016,12.8,11.9,12.2,5.7,4.9,5.2,4.5,3.7,4.0,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2019,PT,Percent,2017,12.6,11.6,12.0,5.5,4.8,5.1,4.3,3.6,3.9,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2019,PT,Percent,2018,12.4,11.5,11.8,5.4,4.7,5.0,4.3,3.5,3.8,M,M,M,M,M,M,M,M,M,,,,,,,,,,True,True,True,True,True,True,True,True,True
I.10,a3981659,"Unemployment rate, by sex, age and persons with disabilities",d5a60c11,"Unemployment rate, by sex and age",100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,PT,Percent,2000,29.6,36.1,33.3,15.8,16.6,16.2,14.4,14.2,14.3,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,Repository: Eurostat special tabulation;,False,False,False,False,False,False,False,False,False
