INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T__Y_GE25___X,OBS_VALUE__F__Y_GE25___X,OBS_VALUE__M__Y_GE25___X,OBS_VALUE___T__Y15T24___X,OBS_VALUE__F__Y15T24___X,OBS_VALUE__M__Y15T24___X,OBS_VALUE___T__Y_GE15___X,OBS_VALUE__F__Y_GE15___X,OBS_VALUE__M__Y_GE15___X,NATURE___T__Y_GE25___X,NATURE__F__Y_GE25___X,NATURE__M__Y_GE25___X,NATURE___T__Y15T24___X,NATURE__F__Y15T24___X,NATURE__M__Y15T24___X,NATURE___T__Y_GE15___X,NATURE__F__Y_GE15___X,NATURE__M__Y_GE15___X,COMMENT_OBS___T__Y_GE25___X,COMMENT_OBS__F__Y_GE25___X,COMMENT_OBS__M__Y_GE25___X,COMMENT_OBS___T__Y15T24___X,COMMENT_OBS__F__Y15T24___X,COMMENT_OBS__M__Y15T24___X,COMMENT_OBS___T__Y_GE15___X,COMMENT_OBS__F__Y_GE15___X,COMMENT_OBS__M__Y_GE15___X,isLatestValue___T__Y_GE25___X,isLatestValue__F__Y_GE25___X,isLatestValue__M__Y_GE25___X,isLatestValue___T__Y15T24___X,isLatestValue__F__Y15T24___X,isLatestValue__M__Y15T24___X,isLatestValue___T__Y_GE15___X,isLatestValue__F__Y_GE15___X,isLatestValue__M__Y_GE15___X
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",246,Finland,FIN,23.308447,61.91586738,Europe and Northern America,G,Global,2021,PT,Percent,2018,6.1,6.0,6.2,17.0,16.8,17.3,7.4,7.3,7.4,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",246,Finland,FIN,23.308447,61.91586738,Europe and Northern America,G,Global,2021,PT,Percent,2019,5.3,4.9,5.7,17.2,15.6,18.7,6.7,6.2,7.2,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,True,True,True,True,True,True,True,True,True
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2000,9.1,11.1,7.4,20.6,22.6,19.0,10.2,12.2,8.5,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2001,7.6,9.4,6.0,18.0,20.5,16.0,8.6,10.5,7.0,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2002,7.5,8.6,6.6,18.9,20.8,17.5,8.7,9.8,7.8,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2003,7.3,8.1,6.5,17.3,18.2,16.5,8.3,9.1,7.6,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2004,7.7,8.8,6.7,19.8,19.8,19.8,8.9,9.9,8.1,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2005,7.1,7.9,6.4,20.3,21.3,19.5,8.5,9.3,7.8,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2006,6.9,7.6,6.3,21.3,22.5,20.4,8.5,9.1,7.9,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2007,6.4,6.8,5.9,18.8,19.5,18.3,7.7,8.1,7.3,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2008,5.8,6.3,5.3,18.3,18.1,18.5,7.1,7.4,6.7,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2009,7.1,7.4,6.8,23.0,21.6,24.0,8.7,8.8,8.7,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2010,7.3,7.6,7.1,22.6,23.0,22.2,8.9,9.1,8.7,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2011,7.4,7.7,7.1,21.9,22.6,21.4,8.8,9.1,8.5,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2012,7.9,8.0,7.8,23.7,23.1,24.1,9.4,9.4,9.4,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2013,8.4,8.4,8.5,24.1,24.4,23.8,9.9,9.8,10.0,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2014,8.9,8.8,8.9,24.2,23.1,25.1,10.3,10.0,10.5,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,Repository: Eurostat special tabulation | Break in series: Methodology revised,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2015,8.9,8.6,9.1,24.7,23.4,25.8,10.4,9.9,10.8,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2016,8.5,8.5,8.6,24.5,24.0,24.9,10.0,9.8,10.2,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2017,8.1,8.2,7.9,22.2,21.2,23.0,9.4,9.4,9.4,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2018,7.8,8.0,7.6,20.8,19.9,21.5,9.0,9.1,9.0,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",250,France,FRA,2.457288129,46.62660861,Europe and Northern America,G,Global,2021,PT,Percent,2019,7.3,7.4,7.1,19.6,18.2,20.8,8.4,8.4,8.5,C,C,C,C,C,C,C,C,C,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,Repository: Eurostat special tabulation,True,True,True,True,True,True,True,True,True
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",266,Gabon,GAB,11.78727747,-0.60687619,Sub-Saharan Africa,G,Global,2021,PT,Percent,2005,,,,,,,16.9,22.4,12.5,,,,,,,C,C,C,,,,,,,,,,,,,,,,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",266,Gabon,GAB,11.78727747,-0.60687619,Sub-Saharan Africa,G,Global,2021,PT,Percent,2010,18.2,26.4,12.2,35.7,41.9,30.6,20.4,28.5,14.4,C,C,C,C,C,C,C,C,C,,,,,,,,,,True,True,True,True,True,True,True,True,True
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2000,9.7,9.5,9.8,21.1,20.5,21.6,10.8,10.5,11.1,C,C,C,C,C,C,C,C,C,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2001,10.2,9.9,10.6,20.1,19.8,20.3,11.2,10.7,11.6,C,C,C,C,C,C,C,C,C,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2002,11.1,9.7,12.4,27.9,27.3,28.4,12.6,11.0,14.0,C,C,C,C,C,C,C,C,C,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2003,10.0,9.6,10.4,24.9,31.7,20.1,11.5,11.5,11.5,C,C,C,C,C,C,C,C,C,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2004,11.1,10.2,12.1,28.3,33.3,25.2,12.6,11.8,13.4,C,C,C,C,C,C,C,C,C,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2005,12.3,11.2,13.3,28.3,30.6,26.8,13.8,12.7,14.8,C,C,C,C,C,C,C,C,C,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2006,,,,,,,13.6,11.7,15.2,,,,,,,C,C,C,,,,,,,,,,,,,,,,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2007,11.4,10.6,12.2,31.5,36.8,28.1,13.3,12.6,13.9,C,C,C,C,C,C,C,C,C,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2008,15.6,15.3,15.9,37.6,42.6,34.5,17.9,17.6,18.1,C,C,C,C,C,C,C,C,C,"Geographical coverage: Total national, excluding some areas | Population coverage: Excluding institutional population","Geographical coverage: Total national, excluding some areas | Population coverage: Excluding institutional population","Geographical coverage: Total national, excluding some areas | Population coverage: Excluding institutional population","Geographical coverage: Total national, excluding some areas | Population coverage: Excluding institutional population","Geographical coverage: Total national, excluding some areas | Population coverage: Excluding institutional population","Geographical coverage: Total national, excluding some areas | Population coverage: Excluding institutional population","Geographical coverage: Total national, excluding some areas | Population coverage: Excluding institutional population","Geographical coverage: Total national, excluding some areas | Population coverage: Excluding institutional population","Geographical coverage: Total national, excluding some areas | Population coverage: Excluding institutional population",False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2009,17.9,16.0,19.7,44.3,50.5,40.2,20.7,19.1,22.1,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Break in series: Methodology revised,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2010,17.6,14.9,20.1,41.5,45.7,39.1,20.2,17.6,22.5,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2011,16.8,14.7,18.8,41.9,45.5,39.7,19.6,17.4,21.6,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2012,17.5,16.3,18.5,38.2,41.0,36.7,19.7,18.4,20.8,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2013,16.9,14.1,19.3,41.0,40.5,41.3,19.4,16.2,22.1,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2014,15.2,13.1,17.1,38.2,33.3,40.6,17.4,14.5,19.9,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2015,14.5,12.0,16.7,36.9,40.2,35.1,16.5,13.9,18.7,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2016,14.9,11.3,17.9,36.0,32.6,37.7,16.6,12.6,20.0,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",268,Georgia,GEO,43.3713615,42.04813028,Northern Africa and Western Asia,G,Global,2021,PT,Percent,2017,12.4,11.0,13.7,28.9,32.7,26.3,13.9,12.7,15.0,C,C,C,C,C,C,C,C,C,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,Repository: ILO-STATISTICS - Micro data processing,False,False,False,False,False,False,False,False,False
