INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,UNIT_MEASURE,UNIT_MEASURE_DESC,TIME_PERIOD,OBS_VALUE___T__Y_GE25___X,OBS_VALUE__F__Y_GE25___X,OBS_VALUE__M__Y_GE25___X,OBS_VALUE___T__Y15T24___X,OBS_VALUE__F__Y15T24___X,OBS_VALUE__M__Y15T24___X,OBS_VALUE___T__Y_GE15___X,OBS_VALUE__F__Y_GE15___X,OBS_VALUE__M__Y_GE15___X,NATURE___T__Y_GE25___X,NATURE__F__Y_GE25___X,NATURE__M__Y_GE25___X,NATURE___T__Y15T24___X,NATURE__F__Y15T24___X,NATURE__M__Y15T24___X,NATURE___T__Y_GE15___X,NATURE__F__Y_GE15___X,NATURE__M__Y_GE15___X,COMMENT_OBS___T__Y_GE25___X,COMMENT_OBS__F__Y_GE25___X,COMMENT_OBS__M__Y_GE25___X,COMMENT_OBS___T__Y15T24___X,COMMENT_OBS__F__Y15T24___X,COMMENT_OBS__M__Y15T24___X,COMMENT_OBS___T__Y_GE15___X,COMMENT_OBS__F__Y_GE15___X,COMMENT_OBS__M__Y_GE15___X,isLatestValue___T__Y_GE25___X,isLatestValue__F__Y_GE25___X,isLatestValue__M__Y_GE25___X,isLatestValue___T__Y15T24___X,isLatestValue__F__Y15T24___X,isLatestValue__M__Y15T24___X,isLatestValue___T__Y_GE15___X,isLatestValue__F__Y_GE15___X,isLatestValue__M__Y_GE15___X
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2021,PT,Percent,2010,4.3,4.6,4.2,13.3,13.0,13.5,5.9,6.1,5.8,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2021,PT,Percent,2011,4.2,4.5,4.1,13.3,12.9,13.5,5.8,5.9,5.7,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2021,PT,Percent,2012,4.2,4.5,4.1,13.4,12.9,13.8,5.8,5.9,5.7,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2021,PT,Percent,2013,4.3,4.5,4.1,13.6,13.0,13.9,5.8,5.9,5.7,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2021,PT,Percent,2014,4.2,4.5,4.0,13.4,12.8,13.7,5.6,5.8,5.5,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2021,PT,Percent,2015,4.2,4.5,4.0,13.6,13.2,13.9,5.6,5.8,5.5,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2021,PT,Percent,2016,4.2,4.6,4.0,13.8,13.4,14.1,5.7,5.9,5.5,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2021,PT,Percent,2017,4.1,4.5,3.9,13.7,13.3,14.0,5.6,5.8,5.4,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2021,PT,Percent,2018,4.0,4.3,3.8,13.5,13.0,13.8,5.4,5.5,5.3,M,M,M,M,M,M,M,M,M,,,,,,,,,,False,False,False,False,False,False,False,False,False
I.10,Ia3981659,"Unemployment rate, by sex, age and persons with disabilities",Sd5a60c11,"Unemployment rate, by sex and age",1,World,,,,,G,Global,2021,PT,Percent,2019,4.0,4.3,3.8,13.5,13.0,13.9,5.4,5.5,5.3,M,M,M,M,M,M,M,M,M,,,,,,,,,,True,True,True,True,True,True,False,True,True
