INDICATOR_LABEL,INDICATOR_ID,INDICATOR_DESC,MINSET_SERIES,MINSET_SERIES_DESC,REF_AREA,REF_AREA_DESC,ISO3,X,Y,SDG_REGION,REPORTING_TYPE,REPORTING_TYPE_DESC,SOURCE_YEAR,TIME_PERIOD,VALUE_CATEGORY_DESC,NATURE,isLatestValue
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,100,Bulgaria,BGR,25.23763153,42.75731323,Europe and Northern America,G,Global,2019,2020,The law guarantees the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,104,Myanmar,MMR,96.51752295,21.19332882,Eastern and South-Eastern Asia,G,Global,2019,2020,The law guarantees the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,108,Burundi,BDI,29.89080992,-3.366387428,Sub-Saharan Africa,G,Global,2019,2020,The law does not guarantee the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,112,Belarus,BLR,28.04940161,53.54193075,Europe and Northern America,G,Global,2019,2020,The law guarantees the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,116,Cambodia,KHM,104.922836,12.71163737,Eastern and South-Eastern Asia,G,Global,2019,2020,The law guarantees the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,12,Algeria,DZA,2.678164227,28.15940032,Northern Africa and Western Asia,G,Global,2019,2020,The law does not guarantee the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,120,Cameroon,CMR,12.7419827,5.692387031,Sub-Saharan Africa,G,Global,2019,2020,The law guarantees the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,124,Canada,CAN,-101.6575058,57.72360191,Europe and Northern America,G,Global,2019,2020,The law guarantees the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,132,Cabo Verde,CPV,-23.63544151,15.07791834,Sub-Saharan Africa,G,Global,2019,2020,The law guarantees the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,140,Central African Republic,CAF,20.93559492,7.003720791,Sub-Saharan Africa,G,Global,2019,2020,The law guarantees the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,144,Sri Lanka,LKA,80.70489654,7.614693343,Central and Southern Asia,G,Global,2019,2020,The law guarantees the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,148,Chad,TCD,18.66618401,15.36279341,Sub-Saharan Africa,G,Global,2019,2020,The law guarantees the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,152,Chile,CHL,-71.23029019,-35.2652885,Latin America and the Caribbean,G,Global,2019,2020,The law guarantees the same inheritance rights,C,True
V.3q,b0e21aa2,Whether or not inheritance rights discriminate against women and girls,cfd91785,Whether or not inheritance rights discriminate against widows,156,China,CHN,104.1403375,32.30955217,Eastern and South-Eastern Asia,G,Global,2019,2020,The law guarantees the same inheritance rights,C,True
